,Name,Address,Beds,Baths,sqft,Rent,Amenities,Distance by vehicle,Time taken by car,Time taken by walk,Distance by walk,Cost Per Person
27,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1.0,512.0,755.0,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",,10,40,2.0,755.0
28,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1.0,424.0,785.0,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",,10,40,2.0,785.0
29,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1.0,610.0,825.0,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",,10,40,2.0,825.0
30,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1.0,626.0,895.0,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",,10,40,2.0,895.0
31,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",2,1.0,727.0,995.0,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",,10,40,2.0,497.5
32,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",2,2.0,877.0,1095.0,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",,10,40,2.0,547.5
33,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",2,2.0,978.0,1150.0,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",,10,40,2.0,575.0
34,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",1,1.0,496.0,619.5,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",,5,10,0.6,619.5
35,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",2,2.0,916.0,587.5,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",,5,10,0.6,587.5
36,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",2,2.0,934.0,587.5,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",,5,10,0.6,587.5
